1/1    金币 350
1/80   重盔甲(男)
1/20    太阳水
1/20    太阳水
1/20    太阳水
1/20    太阳水
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/200  狂风戒指
1/200  辟邪手镯
1/200  躲避手链
1/26		幽灵项链
1/26		生命项链
1/26		天珠项链
1/26		思贝儿手镯
1/26		心灵手镯
1/26		阎罗手套
1/26		龙之戒指
1/26		红宝石戒指
1/26		铂金戒指
1/26		鹿皮靴
1/26		铁腰带
1/26		罗刹
1/26		井中月
1/26		无极棍
1/42		战神盔甲(男)
1/42		战神盔甲(女)
1/42		恶魔长袍(男)
1/42		恶魔长袍(女)
1/42		幽灵战衣(男)
1/42		幽灵战衣(女)
1/42		炼狱
1/42		魔杖
1/42		银蛇
